Departamento,Area de Cobertura,canal o frecuencia,medio,nombre,facebook,seguidores,lat,lon
Santa Cruz,Montero,"93,5",Radio,RTU RADIO T.V. UNIVERSAL MONTERO,https://www.facebook.com/rtumontero,1374,,
Santa Cruz,Montero,"90,7",Radio,RADIO AUDIOKISS F.M.,https://www.facebook.com/AUDIOKISSFM,1129,,
Santa Cruz,Montero,"107,1",Radio,RADIO SOLARIUM,https://www.facebook.com/radiosolarium,290,,
Santa Cruz,Montero,"101,1",Radio,RADIO AUTENTIKA DE MONTERO,https://www.facebook.com/profile.php?id=100066444972093,26,,
Santa Cruz,Montero,"106,3",Radio,RADIO JEMA FM,https://www.facebook.com/profile.php?id=100068103700313,6,,
Santa Cruz,Montero,"88,7",Radio,SISTEMA DE COMUNICACIONES DIGITAL NORTE DE MONTERO,,,,
Santa Cruz,Montero,"89,1",Radio,RADIO TRINIDAD,,,,
Santa Cruz,Montero,"89,5",Radio,RADIO F.M. LA VOZ DEL PUEBLO,,,-17.318947405037864,-63.26206640155143
Santa Cruz,Montero,"89,9",Radio,EMPRESA DE MEDIOS DE COMUNICACION CORMECO UNO,,,-17.351175440186914,-63.24802990397007
Santa Cruz,Montero,"90,3",Radio,SISTEMA DE COMUNICACION INTEGRACION DEL NORTE,,,,
Santa Cruz,Montero,"91,5",Radio,RADIO LA SUPER F.M. ESPECTACULAR NORTENA,,,,
Santa Cruz,Montero,"91,9",Radio,IMAGEN DEL VALLE I-VALLE,,,,
Santa Cruz,Montero,"92,7",Radio,SISTEMA DE COMUNICACION POTENCIA DIGITAL,,,,
Santa Cruz,Montero,"93,1",Radio,RADIO SENOR SANTIAGO DE BUMBORI,,,,
Santa Cruz,Montero,"93,9",Radio,RED DE RADIODIFUSORAS EMMY F.M.,,,,
Santa Cruz,Montero,"94,7",Radio,"JUNTA VECINAL ""URBANIZACION ALEMAN""",,,,
Santa Cruz,Montero,"95,5",Radio,RADIO SUI GENERIS,,,,
Santa Cruz,Montero,"95,9",Radio,RADIO TROPICAL NORTE,,,,
Santa Cruz,Montero,"96,7",Radio,CORPORACION BOLIVIANA DE TELEVISION SRL,,,,
Santa Cruz,Montero,"97,1",Radio,CRISTO TE AMA,,,,
Santa Cruz,Montero,"97,5",Radio,AMPER S.R.L.,,,,
Santa Cruz,Montero,"97,9",Radio,COOPERATIVA DE SERVICIOS Y COMERCIALIZACION GERMAN MORENO LTDA.,,,,
Santa Cruz,Montero,"98,7",Radio,RADIODIFUSORA EL FARO,,,,
Santa Cruz,Montero,"99,5",Radio,RADIO FM UNIVERSITARIA SATURNO,,,,
Santa Cruz,Montero,"99,9",Radio,RADIO Y TV OMEGA,,,,
Santa Cruz,Montero,"101,5",Radio,CANAL DE TELEVISION QUILLACOLLO,,,,
Santa Cruz,Montero,"101,9",Radio,SISTEMA DE RADIO Y TELEVISION PODER DE DIOS SRTPD,,,,
Santa Cruz,Montero,"102,3",Radio,SISTEMA DE COMUNICACION CONTINENTAL MONTERO,,,,
